"x","y","era_grupo","region"
-0.75106850637354,-1.28260451782766,"Pre-1990","noa"
-0.669716216424926,-1.2787976291098,"Pre-1990","noa"
-0.58830880138656,-1.27386520024749,"Pre-1990","noa"
-0.506927409940172,-1.26781214799308,"Pre-1990","noa"
-0.42565316482661,-1.26064450616069,"Pre-1990","noa"
-0.344567081980928,-1.2523694196116,"Pre-1990","noa"
-0.263749989773937,-1.24299513713202,"Pre-1990","noa"
-0.183282448440732,-1.23253100321061,"Pre-1990","noa"
-0.103244669776494,-1.22098744872364,"Pre-1990","noa"
-0.0237164371796289,-1.20837598053725,"Pre-1990","noa"
0.0552229738780577,-1.19470917003721,"Pre-1990","noa"
0.133494874874878,-1.18000064059744,"Pre-1990","noa"
0.211021242677686,-1.16426505399996,"Pre-1990","noa"
0.287724797317042,-1.14751809581971,"Pre-1990","noa"
0.363529079021557,-1.12977645978882,"Pre-1990","noa"
0.438358524434664,-1.1110578311559,"Pre-1990","noa"
0.51213854193781,-1.09138086905707,"Pre-1990","noa"
0.584795586005006,-1.07076518791609,"Pre-1990","noa"
0.656257230514606,-1.04923133789224,"Pre-1990","noa"
0.726452240945238,-1.02680078439556,"Pre-1990","noa"
0.795310645383931,-1.00349588668956,"Pre-1990","noa"
0.862763804275629,-0.979339875603123,"Pre-1990","noa"
0.928744478844603,-0.954356830373426,"Pre-1990","noa"
0.993186898119516,-0.928571654643278,"Pre-1990","noa"
1.05602682449536,-0.902010051636615,"Pre-1990","noa"
1.11720161776692,-0.874698498536965,"Pre-1990","noa"
1.17665029756983,-0.846664220094421,"Pre-1990","noa"
1.23431360416721,-0.817935161487414,"Pre-1990","noa"
1.290134057521,-0.788539960466354,"Pre-1990","noa"
1.34405601458932,-0.758507918806893,"Pre-1990","noa"
1.39602572479271,-0.727868973101286,"Pre-1990","noa"
1.4459913835938,-0.696653664916936,"Pre-1990","noa"
1.49390318413728,-0.664893110351901,"Pre-1990","noa"
1.53971336689838,-0.63261896901769,"Pre-1990","noa"
1.58337626729067,-0.599863412480271,"Pre-1990","noa"
1.62484836118548,-0.566659092190757,"Pre-1990","noa"
1.66408830829768,-0.533039106937728,"Pre-1990","noa"
1.70105699339462,-0.499036969853641,"Pre-1990","noa"
1.73571756528701,-0.464686575008207,"Pre-1990","noa"
1.76803547356301,-0.43002216362205,"Pre-1990","noa"
1.7979785030288,-0.395078289934308,"Pre-1990","noa"
1.82551680582143,-0.35988978675822,"Pre-1990","noa"
1.85062293116177,-0.32449173075902,"Pre-1990","noa"
1.8732718527181,-0.288919407488752,"Pre-1990","noa"
1.89344099355283,-0.253208276212868,"Pre-1990","noa"
1.91111024862775,-0.217393934563654,"Pre-1990","noa"
1.92626200484515,-0.181512083055747,"Pre-1990","noa"
1.9388811586049,-0.145598489499073,"Pre-1990","noa"
